date,location,secchi
6/19/21,P,3.20
6/19/21,R,3.90
7/5/21,B ,2.20
7/5/21,E,2.80
7/5/21,F,2.85
7/5/21,P,2.60
7/5/21,R,2.60
7/21/21,B ,1.50
7/21/21,E,1.50
7/21/21,F,1.50
7/21/21,P,1.40
7/21/21,R,1.30
8/6/21,B ,2.10
8/6/21,E,2.25
8/6/21,F,2.00
8/6/21,P,2.00
8/6/21,R,2.75
8/23/21,B ,3.25
8/23/21,E,2.75
8/23/21,F,3.00
8/23/21,P,2.75
8/23/21,R,2.50
9/7/21,B ,4.30
9/7/21,E,4.50
9/7/21,F,4.15
9/7/21,P,4.50
9/7/21,R,3.50
9/23/21,B ,3.10
9/23/21,E,3.10
9/23/21,F,3.00
9/23/21,P,3.50
9/23/21,R,2.30
10/9/21,B ,3.35
10/9/21,E,4.80
10/9/21,F,4.00
10/9/21,P,4.50
10/9/21,R,4.00
10/25/21,B ,3.50
10/25/21,E,3.50
10/25/21,F,3.50
10/25/21,P,3.30
10/25/21,R,3.50
11/10/21,B ,4.10
11/10/21,E,3.50
11/10/21,F,5.10
11/10/21,P,3.68
11/10/21,R,3.55
11/26/21,B ,4.00
11/26/21,E,3.40
11/26/21,F,3.10
11/26/21,P,3.00
11/26/21,R,4.30
12/12/21,B ,2.50
12/12/21,E,2.75
12/12/21,F,3.00
12/12/21,P,2.00
12/12/21,R,1.90
12/28/21,B ,2.20
12/28/21,E,2.50
12/28/21,F,2.15
12/28/21,P,3.00
12/28/21,R,2.00
1/14/22,B,4.50
1/14/22,E,3.50
1/14/22,R,3.50
1/29/22,B ,3.70
1/29/22,E,4.00
1/29/22,F,4.00
1/29/22,P,6.00
1/29/22,R,4.00
2/15/22,B ,3.00
2/15/22,E,3.00
2/15/22,F,3.00
2/15/22,P,2.50
2/15/22,R,3.75
3/2/22,B ,3.75
3/2/22,E,3.80
3/2/22,F,3.50
3/2/22,P,4.50
3/2/22,R,4.50
3/18/22,B ,3.00
3/18/22,E,3.80
3/18/22,F,2.50
3/18/22,P,3.50
3/18/22,R,4.25
4/3/22,B ,4.00
4/3/22,E,4.60
4/3/22,R,4.60
4/19/22,B ,4.75
4/19/22,E,3.95
4/19/22,R,4.75
5/6/22,B ,3.40
5/6/22,E,3.60
5/6/22,R,3.30
5/21/22,B ,3.00
5/21/22,E,2.75
5/21/22,R,2.90
6/8/22,B ,2.50
6/8/22,E,2.25
6/8/22,R,4.00
6/22/22,B ,2.60
6/22/22,E,3.60
6/22/22,R,3.48
7/8/22,B ,2.75
7/8/22,E,4.50
7/8/22,R,9.50
7/25/22,B,2.50
7/25/22,E,4.50
7/25/22,R,4.50
8/10/22,B,2.75
8/10/22,E,4.00
8/10/22,R,3.00
8/25/22,B,2.75
8/25/22,E,3.00
8/25/22,R,3.00
9/9/22,B,3.00
9/9/22,E,3.00
9/9/22,R,3.50
9/26/22,B,3.75
9/26/22,E,3.00
9/26/22,R,3.50
10/4/22,B,3.50
10/4/22,E,3.75
10/4/22,R,3.50
10/20/22,B,2.50
10/20/22,E,2.25
10/20/22,R,3.00
10/27/22,B,2.90
10/27/22,E,3.50
10/27/22,R,3.00
11/4/22,B,3.40
11/4/22,E,3.00
11/4/22,R,3.60
11/14/22,B,2.50
11/14/22,E,3.00
11/14/22,R,3.75
11/28/22,B,3.50
11/28/22,E,3.25
11/28/22,R,2.75
12/7/22,B,2.50
12/7/22,E,3.00
12/7/22,R,3.00
