"date","location","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","max_temp_degK_3","min_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","max_temp_degK_5","min_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","max_temp_degK_7","min_temp_degK_7","tot_precip_m_7","mean_wind_mps_7"
"2021-02-03","B","LANDSAT_7",0.01351,0.00306,0.011695,0.00655249999999998,0.00308749999999999,0.00151999999999999,0,1,19,1,214,220,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","C","LANDSAT_7",0.01360625,0.00304625,0.01168125,0.00651124999999999,9.00000000000067e-05,0.00151999999999999,0,1,22,0,119,125.363636363636,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","D","LANDSAT_7",0.0161775,0.00547999999999998,0.0143625,0.006635,0.003115,0.0015475,0,1,22,0,77,84.7272727272727,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","E","LANDSAT_7",0.0123,0.00284,0.00858749999999999,0.006525,0.003115,0.0015475,0,1,19,1,46,52.7368421052632,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","F","LANDSAT_7",0.00858749999999999,0.0020425,0.00503999999999998,0.00594749999999999,-1.99999999999922e-05,0.00146499999999999,0,1,15,1,156,161.2,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","G","LANDSAT_7",0.014995,0.00319749999999999,0.0121625,0.00647,0.00303249999999999,0.0014925,0,1,23,0,130,137.347826086957,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","H","LANDSAT_7",0.01571,0.00363749999999998,0.0101825,0.00677249999999998,0.003115,0.0015475,0,1,21,0,114,120.285714285714,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","I","LANDSAT_7",0.01168125,0.00244124999999999,0.0080925,0.00625,6.24999999999931e-05,0.0014925,0,1,18,0,109,117.277777777778,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","K","LANDSAT_7",0.012135,0.002785,0.00594749999999999,0.00649749999999998,0.003115,0.0015475,0,1,17,0,92,99.9411764705882,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","M","LANDSAT_7",0.0122725,0.00520499999999998,0.0111725,0.00658,0.00314249999999999,0.0015475,0,1,25,0,107,113.92,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-02-03","R","LANDSAT_7",0.01005875,0.00290875,0.006195,0.006525,0.000117499999999993,0.0015475,0,1,14,0,123,129.357142857143,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
"2021-03-23","A","LANDSAT_7",0.025005,0.01637,0.0278925,0.018405,0.00503999999999998,0.00402249999999998,0,1,25,0,1060,1068.16,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","B","LANDSAT_7",0.027315,0.017745,0.029075,0.0181025,0.00498499999999998,0.00399499999999999,0,1,25,0,1043,1050.56,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","C","LANDSAT_7",0.0255,0.017745,0.0313575,0.0225025,0.00498499999999998,0.00399499999999999,0,1,27,0,1090,1098.48148148148,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","D","LANDSAT_7",0.023575,0.0159575,0.0293225,0.0182675,0.00762499999999999,0.0013275,0,1,27,0,1154,1161.62962962963,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","E","LANDSAT_7",0.0281675,0.0175525,0.0352075,0.01802,0.0050125,0.00129999999999999,0,1,23,0,513,519.652173913043,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","F","LANDSAT_7",0.02561,0.017195,0.03034,0.0178,0.00492999999999999,0.00396749999999998,0,1,26,0,932,939.807692307692,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","G","LANDSAT_7",0.0231075,0.0122725,0.0255275,0.0183225,0.0050125,0.00266124999999999,0,1,24,0,693,701.5,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","H","LANDSAT_7",0.02798875,0.01382625,0.028415,0.01434875,0.0051225,0.00407749999999998,0,1,24,0,508,514.416666666667,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","J","LANDSAT_7",0.0251425,0.0167825,0.0299825,0.0263525,0.0074325,0.00391249999999998,0,1,21,0,187,193.952380952381,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
"2021-03-23","M","LANDSAT_7",0.022365,0.0124375,0.022805,0.01736,0.0047925,0.00391249999999998,0,1,25,0,582,590.64,"2_LE07_018050_20210323",13,9,NA,105.66028363,49.86394753,49303.764,294.652329126994,290.534594217936,0.00481955111007437,0.727748718851805,79046.7739648438,294.652329126994,290.534594217936,0.024346207997894,0.729948564728285,128018.839152344,294.863160451253,290.534594217936,0.024534952065892,0.645788795472737
